(dollar sign)	[(dollar sign), $]
handed	[handed, portée]
poses	[poses, pose]
stands	[stands, pose]
pose	[pose, posent, poser, poser]
to put	[to put, poser]
positive	[positive, positif, positifs, positifs, positive, positive, positives, positives]
position	[position, position, poste, poste]
positions	[positions, positions, postes, postes]
stance	[stance, positions]
possession	[possession, possession]
ownership	[ownership, possession]
possessions	[possessions, possessions]
possibility	[possibility, possibilité]
possibilities	[possibilities, possibilités]
potential	[potential, possibilités, potentiel, potentiel, potentiels, potentiels]
options	[options, possibilités]
possible	[possible, possible, possibles, possibles]
possibles	[possibles, possibles]
own	[own, possèdent, posséder, posséder, propre, propre, propres, propres]
possess	[possess, possèdent, posséder, posséder]
owning	[owning, possédant]
to posess	[to posess, posséder]
post	[post, post, poste, poste, postes, postes]
posthumous	[posthumous, posthume, posthumes, posthumes]
posterity	[posterity, postérité]
laid	[laid, posé]
layed	[layed, posé]
potentially	[potentially, potentiellement]
boost	[boost, pouce]
hogwarts (name in english for the school)	[hogwarts (name in english for the school), poudlard]
powder	[powder, poudre]
percentage	[percentage, pourcentage, proportions, proportions]
why	[why, pourquoi]
will be able	[will be able, pourra, pourront, pourront]
will be able to	[will be able to, pourra, pourront, pourront]
could	[could, pourraient, pourrait, pourrait, pouvaient, pouvaient, pouvait, pouvait, pu, pu, puisse, puisse, put, put]
to be permitted to	[to be permitted to, pourraient]
to be able to	[to be able to, pourrait, pouvoir, pouvoir, pouvons, pouvons]
carries on	[carries on, poursuit]
pursuit	[pursuit, poursuite]
prosecutions	[prosecutions, poursuites]
proceedings	[proceedings, poursuites]
pursue	[pursue, poursuivent]
follow	[follow, poursuivent, succèdent, succèdent, suit, suit, suivent, suivent, suivre, suivre]
keep going	[keep going, poursuivent]
pursued	[pursued, poursuivi]
prosecute	[prosecute, poursuivre]
yet (or nevertheless)	[yet (or nevertheless), pourtant]
shoot	[shoot, pousse, tir, tir, tiré, tiré]
pushes	[pushes, pousse]
push	[push, pousser]
dust	[dust, poussière]
pushed	[pushed, poussé, poussées, poussées]
thrust	[thrust, poussée]
rising	[rising, poussée]
beams	[beams, poutres]
being able to	[being able to, pouvoir]
to be able	[to be able, pouvoir]
powers	[powers, pouvoirs, puissances, puissances]
power	[power, power, puissance, puissance]
poem	[poem, poème]
poems	[poems, poèmes]
poet	[poet, poète]
poets	[poets, poètes]
poetry	[poetry, poésie]
poetic	[poetic, poétique]
pp.	[pp., pp]
ppe	[ppe, ppe]
pr	[pr, pr]
prague	[prague, prague]
practice	[practice, pratiquant, pratique, pratique, pratiquent, pratiquent, pratiquer, pratiquer]
practicing	[practicing, pratiquant]
almost	[almost, pratiquement, presque, presque, quasi, quasi, quasiment, quasiment]
pratically	[pratically, pratiquement]
practically	[practically, pratiquement]
practices practices	[practices practices, pratiques]
practical	[practical, pratiqué]
made, practise,	[made, practise,, pratiqué]
is practised	[is practised, pratiquée]
practiced	[practiced, pratiquée, pratiqués, pratiqués]
prime	[prime, premier]
taking	[taking, prenant, prise, prise]
takes	[takes, prend, prendre, prendre, sempare, sempare]
take	[take, prend, prendre, prendre, prennent, prennent, prise, prise, tiennent, tiennent]
will take	[will take, prendra]
took	[took, prendra, prit, prit]
presley	[presley, presley]
nearly	[nearly, presque, quasi, quasi, quasiment, quasiment]
peninsula	[peninsula, presquîle, péninsule, péninsule]
presque-isle	[presque-isle, presquîle]
pressure	[pressure, pression, pressions, pressions]
pression	[pression, pression]
pressures	[pressures, pressions]
delivery	[delivery, prestation]
services	[services, prestations, services, services]
prestige	[prestige, prestige]
prestigious	[prestigious, prestigieux]
evidence	[evidence, preuve, prouve, prouve, évidence, évidence]
proofs	[proofs, preuves]
evidences	[evidences, preuves]
elementary	[elementary, primaire, élémentaires, élémentaires]
primary	[primary, primaire, primaires, primaires]
premium	[premium, prime]
allowance	[allowance, prime]
prince	[prince, prince, princes, princes]
princes	[princes, princes]
princess	[princess, princesse]
main	[main, principal, principale, principale, principales, principales, principaux, principaux]
principality	[principality, principauté, principautés, principautés]
principalities	[principalities, principautés]
principle	[principle, principe]
spring	[spring, printemps, ressort, ressort]
priori	[priori, priori]
anticipated	[anticipated, priori]
priority	[priority, priorité]
catch	[catch, prises]
prison	[prison, prison]
prisoner	[prisoner, prisonnier]
prisioner	[prisioner, prisonnier]
prisoners	[prisoners, prisonniers]
prisonners	[prisonners, prisonniers]
privileges	[privileges, privilèges]
privileged	[privileged, privilégié, privilégiée, privilégiée]
priviledged	[priviledged, privilégié, privilégiée, privilégiée]
private	[private, privé, privée, privée, privées, privées, privés, privés]
deprives	[deprives, privé]
deprive	[deprive, privés]
price	[price, prix]
prayer	[prayer, prière]
have never seen this before and can't find a translation	[have never seen this before and can't find a translation, prm]
pro	[pro, pro]
likelihood	[likelihood, probabilité]
probability	[probability, probabilité]
likely	[likely, probable, susceptible, susceptible, susceptibles, susceptibles]
probable	[probable, probable]
probably	[probably, probablement, vraisemblablement, vraisemblablement]
problem	[problem, problème]
problems	[problems, problèmes, troubles, troubles]
problematic	[problematic, problématique]
process	[process, processus, procédé, procédé]
next - next - coming	[next - next - coming, prochain]
close	[close, proche, près, près, étroite, étroite]
near east	[near east, procheorient]
relatives	[relatives, proches]
proclamation	[proclamation, proclamation]
announcement	[announcement, proclamation]
claims	[claims, proclame, revendications, revendications, revendique, revendique, réclame, réclame]
proclame	[proclame, proclame]
proclaimed	[proclaimed, proclame, proclamé, proclamé, proclamée, proclamée]
proclamed	[proclamed, proclamé]
proclaims	[proclaims, proclamé]
public prosecutor	[public prosecutor, procureur]
prosecutor	[prosecutor, procureur]
proceeds	[proceeds, procède]
procedes	[procedes, procède]
trial - trial - trial	[trial - trial - trial, procès]
trial	[trial, procès, épreuve, épreuve]
to proceed	[to proceed, procéder]
proceed	[proceed, procéder]
proceeding	[proceeding, procédure]
procedure	[procedure, procédure]
procedures	[procedures, procédures]
processes	[processes, procédés]
productor	[productor, producteur]
maker	[maker, producteur]
producer	[producer, producteur]
manufacturer	[manufacturer, producteur]
producers	[producers, producteurs]
production	[production, production]
productions	[productions, productions]
productivity	[productivity, productivité]
producing	[producing, produisant]
produced	[produced, produit, produite, produite]
products	[products, produits]
professor	[professor, professeur]
teachers	[teachers, professeurs]
profession (of faith for 1st) profession or trade (for moliere)	[profession (of faith for 1st) profession or trade (for moliere), profession]
professional	[professional, professionnel, professionnelle, professionnelle, professionnelles, professionnelles]
professionals	[professionals, professionnels]
profesionnals	[profesionnals, professionnels]
profile	[profile, profil]
outline	[outline, profil]
good use	[good use, profit]
taking advantage	[taking advantage, profitant]
take advantage	[take advantage, profite]
deep	[deep, profond, profonde, profonde, profondes, profondes]
depth	[depth, profondeur]
deeply	[deeply, profondément, vivement, vivement]
programming	[programming, programmation]
program	[program, programme]
programs	[programs, programmes]
progresses	[progresses, progresse]
progressive	[progressive, progressif, progressive, progressive]
progression	[progression, progression]
forward moving	[forward moving, progressive]
prey	[prey, proie]
screning	[screning, projection]
projection	[projection, projection]
project	[project, projet]
projects	[projects, projets]
projected	[projected, projeté]
extends	[extends, prolonge, sétend, sétend, sétendant, sétendant]
extend	[extend, prolonge]
prolongation	[prolongation, prolongement]
drive	[drive, promenade]
stroll	[stroll, promenade]
promise (the noun)	[promise (the noun), promesse]
promise	[promise, promesse, promet, promet, promis, promis]
promises (verb)	[promises (verb), promet]
promises	[promises, promet]
promised	[promised, promis]
promotion	[promotion, promotion]
pronounced	[pronounced, prononce, prononcé, prononcé, prononcée, prononcée]
pronounce	[pronounce, prononce, prononcer, prononcer]
pronounces	[pronounces, prononce]
pronunciation	[pronunciation, prononciation]
pronounciation	[pronounciation, prononciation]
propaganda	[propaganda, propagande]
propagation	[propagation, propagation]
prophet	[prophet, prophète]
prophets	[prophets, prophètes]
proportion	[proportion, proportion]
proportional	[proportional, proportionnelle]
proportions	[proportions, proportions]
proposed	[proposed, proposa, proposé, proposé, proposée, proposée, proposées, proposées, proposés, proposés]
suggesting	[suggesting, proposant]
suggestion	[suggestion, proposition]
proposals	[proposals, propositions]
propositions	[propositions, propositions]
suggested	[suggested, proposée, suggéré, suggéré, évoqué, évoqué]
strictly	[strictly, proprement, strictement, strictement]
properly	[properly, proprement]
owner	[owner, propriétaire]
owners	[owners, propriétaire, propriétaires, propriétaires]
the owners	[the owners, propriétaires]
properties	[properties, propriétés]
prose	[prose, prose]
properous	[properous, prospère]
prosperous	[prosperous, prospère]
prosperity	[prosperity, prospérité]
prostate	[prostate, prostate]
protagonists	[protagonists, protagonistes]
protector, protective	[protector, protective, protecteur]
protective	[protective, protecteur]
patron	[patron, protecteur]
protection	[protection, protection]
protectorate	[protectorate, protectorat]
protestant	[protestant, protestant, protestante, protestante, protestants, protestants]
protestantism	[protestantism, protestantisme]
protestants	[protestants, protestants]
protest	[protest, protestation]
protes	[protes, protestation]
protests	[protests, protestations]
protocol	[protocol, protocole]
protocols	[protocols, protocoles]
protect	[protect, protège, protéger, protéger]
protects	[protects, protège]
guarded	[guarded, protégées]
protein	[protein, protéine, protéines, protéines]
proteins	[proteins, protéines]
proust	[proust, proust]
to prove	[to prove, prouver]
proove	[proove, prouver]
proved	[proved, prouvé]
proven	[proven, prouvé, éprouve, éprouve]
provenance	[provenance, provenance]
provence	[provence, provence]
comes	[comes, provient, vient, vient]
comes from	[comes from, provient]
province	[province, province]
provincial	[provincial, province, provinciales, provinciales]
provinces	[provinces, provinces]
provisional	[provisional, provisoire]
tentative	[tentative, provisoire]
causing	[causing, provoquant]
provoking	[provoking, provoquant]
provoke	[provoke, provoquent, provoquer, provoquer]
provoked	[provoked, provoqué]
closeness	[closeness, proximité]
proxy	[proxy, proxy]
caution	[caution, prudence]
prussia	[prussia, prusse]
prior	[prior, préalable]
preliminary	[preliminary, préalable, préliminaire, préliminaire]
precepts	[precepts, préceptes]
precious	[precious, précieux]
rainfall	[rainfall, précipitations]
precipitation	[precipitation, précipitations]
precipitations	[precipitations, précipitations]
precise	[precise, précis, précises, précises]
accurate	[accurate, précis, précise, précise, précises, précises]
specify	[specify, préciser]
precision	[precision, précision]
accuracy	[accuracy, précision]
precisely	[precisely, précisément]
early	[early, précoce]
precursor	[precursor, précurseur, précurseurs, précurseurs]
forerunner or precursor	[forerunner or precursor, précurseur]
precursors	[precursors, précurseurs]
preceding	[preceding, précédant, précédentes, précédentes]
preceding (as a verb, not as the adjective)	[preceding (as a verb, not as the adjective), précédant]
beforehand	[beforehand, précédemment]
before (for the version) earlier (for the other 2)	[before (for the version) earlier (for the other 2), précédente]
precadente	[precadente, précédente]
earlier	[earlier, précédents]
precedents	[precedents, précédents]
preceded	[preceded, précédé]
prior to	[prior to, précédé]
predilection	[predilection, prédilection]
predecessor	[predecessor, prédécesseur, prédécesseurs, prédécesseurs]
predecessors	[predecessors, prédécesseur, prédécesseurs, prédécesseurs]
preface	[preface, préface]
prefecture	[prefecture, préfecture]
prefect	[prefect, préfet]
prefixes	[prefixes, préfixes]
prefix	[prefix, préfixes]
prefers	[prefers, préfère]
prefer	[prefer, préfère, préfèrent, préfèrent]
preferring	[preferring, préférant]
preference	[preference, préférence]
preferred	[preferred, préférée]
prehistory	[prehistory, préhistoire]
first name	[first name, prénom]
preparation	[preparation, préparation]
prepares	[prepares, prépare]
prepare	[prepare, prépare, préparer, préparer]
prepuce	[prepuce, prépuce]
foreskin	[foreskin, prépuce]
preogatives	[preogatives, prérogatives]
prerogatives	[prerogatives, prérogatives]
presence	[presence, présence]
present in	[present in, présent]
presentation	[presentation, présentation]
present	[present, présente, présentent, présentent, présenter, présenter, présentes, présentes, présents, présents]
presented	[presented, présenté, présentée, présentée, présentés, présentés]
condom	[condom, préservatif]
preserve	[preserve, préserver]
chairs	[chairs, préside]
preside	[preside, préside]
presidency	[presidency, présidence]
president	[president, président, présidente, présidente]
presidential	[presidential, présidentiel, présidentielle, présidentielle, présidentielles, présidentielles]
presidents	[presidents, présidents]
head	[head, présidé, tête, tête]
governed	[governed, présidé]
presided	[presided, présidé]
pretends	[pretends, prétend]
suitors	[suitors, prétendants]
pretext	[pretext, prétexte]
prevalence	[prevalence, prévalence]
prevention	[prevention, prévention]
prevert	[prevert, prévert]
prévert	[prévert, prévert]
predicts	[predicts, prévoit]
envisaged	[envisaged, prévus]
ready	[ready, prêt, prête, prête]
lend	[lend, prête, prêter, prêter]
priest	[priest, prêtre]
priests	[priests, prêtres]
loans	[loans, prêts]
advocates	[advocates, prône]
p.s.	[p.s., ps]
ps	[ps, ps]
pse	[pse, pse]
pseudonym	[pseudonym, pseudonyme]
psychoanalysis	[psychoanalysis, psychanalyse]
psychoanalytic	[psychoanalytic, psychanalytique]
psychoanalitic	[psychoanalitic, psychanalytique]
psychic	[psychic, psychique]
psychology	[psychology, psychologie]
psychological	[psychological, psychologique, psychologiques, psychologiques]
psycological	[psycological, psychologiques]
psychosis	[psychosis, psychose]
psychedelic	[psychedelic, psychédélique]
ptolemy	[ptolemy, ptolémée]
able	[able, pu]
publications	[publications, publications]
advertising	[advertising, publicitaire, publicitaires, publicitaires, publicité, publicité, publicités, publicités]
advertisements	[advertisements, publicitaires]
advertisment	[advertisment, publicité]
advertisement	[advertisement, publicités]
ads	[ads, publicités]
publishes	[publishes, publie]
to publish	[to publish, publier]
publicly	[publicly, publiquement]
because it	[because it, puisquelle]
logespuiquelle	[logespuiquelle, puisquelle]
because he	[because he, puisquil]
since he	[since he, puisquil]
powerful	[powerful, puissant, puissante, puissante, puissants, puissants]
may be able to	[may be able to, puisse]
be able	[be able, puissent]
impulses	[impulses, pulsions]
punk	[punk, punk]
pure	[pure, pur, pure, pure]
purely	[purely, purement]
px	[px, px]
pyramid	[pyramid, pyramide]
pyramides	[pyramides, pyramides]
pyramids	[pyramids, pyramides]
pyrenees	[pyrenees, pyrénées]
pythagoras	[pythagoras, pythagore]
easter	[easter, pâques]
pilgrimage	[pilgrimage, pèlerinage]
pilgrims	[pilgrims, pèlerins]
pilgrim	[pilgrim, pèlerins]
father	[father, père]
fathers	[fathers, pères]
weigh	[weigh, pèse]
weights	[weights, pèse]
sin	[sin, péché, péchés, péchés, sin, sin]
fisheries	[fisheries, péchés]
sins	[sins, péchés]
beijing	[beijing, pékin]
penal	[penal, pénal]
penis	[penis, pénis]
penetration	[penetration, pénétration]
outreach	[outreach, pénétration]
to break into	[to break into, pénétrer]
penetrate	[penetrate, pénétrer]
perimeter	[perimeter, périmètre, périphériques, périphériques]
period	[period, période]
periods	[periods, périodes]
periodic	[periodic, périodique]
periphery	[periphery, périphérie]
outskirt	[outskirt, périphérie]
peripheral	[peripheral, périphérique]
peru	[peru, pérou]
petain	[petain, pétain]
crude oil	[crude oil, pétrole]
fishery	[fishery, pêche]
fishing	[fishing, pêche]
pole	[pole, pôle]
poles	[poles, pôles]
qatar	[qatar, qatar]
qu	[qu, qu]
that had	[that had, qua]
that	[that, qua, que, que, quen, quen, that, that, voulant, voulant]
dock	[dock, quai]
wharf	[wharf, quai]
docks	[docks, quais]
quays	[quays, quais]
qualification	[qualification, qualification]
qualify	[qualify, qualifie, qualifier, qualifier]
qualified	[qualified, qualifié, qualifiée, qualifiée, qualifiés, qualifiés]
quality	[quality, qualité]
qualifications	[qualifications, qualités, éliminatoires, éliminatoires]
qualities	[qualities, qualités]
as for	[as for, quant]
quantum	[quantum, quantique]
quantic	[quantic, quantique]
quantity	[quantity, quantité, quantités, quantités]
quantities	[quantities, quantités]
only after	[only after, quaprès]
quarantine	[quarantine, quarantaine]
forties	[forties, quarantaine]
forty	[forty, quarante]
fourty	[fourty, quarante]
quarter	[quarter, quart]
neighborhood	[neighborhood, quartier]
neighborhoods	[neighborhoods, quartiers]
quaters	[quaters, quarts]
quarters	[quarters, quarts]
alsmot	[alsmot, quasi]
substantially all	[substantially all, quasitotalité]
fourteen	[fourteen, quatorze]
four	[four, quatre]
fourth	[fourth, quatrième]
quartet	[quartet, quatuor]
quatuor	[quatuor, quatuor]
quau	[quau, quau]
than	[than, quau, quaux, quaux, que, que, quune, quune, quà, quà]
quaucune	[quaucune, quaucune]
than the (in that context)	[than the (in that context), quaux]
compliment	[compliment, quaux]
than with	[than with, quavec]
(name of a nightclub - from an english word)	[(name of a nightclub - from an english word), queen]
queens	[queens, queens]
unspecified	[unspecified, quelconque]
that she	[that she, quelle]
that they	[that they, quelles]
some times	[some times, quelquefois, tantôt, tantôt]
few	[few, quelques]
a few	[a few, quelques, quelquesuns, quelquesuns]
someone	[someone, quelquun]
somebody	[somebody, quelquun]
only in	[only in, quen]
quentin	[quentin, quentin]
quintin	[quintin, quentin]
quarrel	[quarrel, querelle]
quarrels	[quarrels, querelles]
quest	[quest, quest, quête, quête]
question	[question, question, questions, questions]
questions	[questions, questions]
queue	[queue, queue]
quil	[quil, quil]
that he	[that he, quil]
quils	[quils, quils]
quint	[quint, quint]
fifteen or so	[fifteen or so, quinzaine]
fifteen	[fifteen, quinze]
quit	[quit, quitter]
though	[though, quoique]
that we	[that we, quon]
daily	[daily, quotidien, quotidienne, quotidienne, quotidiens, quotidiens]
dailies	[dailies, quotidiens]
quebec	[quebec, québec, québécois, québécois]
québec	[québec, québec]
quebecois	[quebecois, québécois]
québécois	[québécois, québécois]
québécoise	[québécoise, québécoise]
r	[r, r]
flap	[flap, rabat]
rabat	[rabat, rabat]
rachel	[rachel, rachel]
racial	[racial, raciale]
root	[root, racine]
roots	[roots, racines]
racism	[racism, racisme]
tell	[tell, raconte]
tells	[tells, raconte]
radar	[radar, radar]
radical	[radical, radical, radicale, radicale, radicaux, radicaux]
radically	[radically, radicalement]
drastic	[drastic, radicaux]
radio	[radio, radio, radios, radios]
radios	[radios, radios]
rafael	[rafael, rafael]
squall	[squall, rafale]
continuous shooting	[continuous shooting, rafale]
rage	[rage, rage]
noun raid foray	[noun raid foray, raid]
raid	[raid, raid]
reasoning	[reasoning, raisonnement]
gathering	[gathering, ralliement, rassemblement, rassemblement, réunissant, réunissant]
ralph	[ralph, ralph]
brings back	[brings back, ramener, rapporte, rapporte]
bring back	[bring back, ramener]
trainsets	[trainsets, rames]
rowing	[rowing, rames]
trains	[trains, rames, trains, trains]
rammstein	[rammstein, rammstein]
randy	[randy, randy]
randy (name)	[randy (name), randy]
rap	[rap, rap]
quick	[quick, rapide, rapides, rapides, vite, vite]
fast	[fast, rapide, rapides, rapides]
rapidement	[rapidement, rapidement]
quickly	[quickly, rapidement, vite, vite]
rapid	[rapid, rapides]
speed	[speed, rapidité, vitesse, vitesse]
reminding	[reminding, rappelant]
recalling	[recalling, rappelant]
remind	[remind, rappeler]
remember / remind	[remember / remind, rappeler]
reminds	[reminds, rappelle]
rapper	[rapper, rappeur]
report	[report, rapport, rapportent, rapportent]
reports	[reports, rapporte]
intercourse	[intercourse, rapports]
reported	[reported, rapporté]
get closer	[get closer, rapproche]
move closer	[move closer, rapproche]
bring closer	[bring closer, rapproche, rapprocher, rapprocher]
reconciliation	[reconciliation, rapprochement, réconciliation, réconciliation]
closer	[closer, rapprocher]
rare	[rare, rare, rares, rares]
rarely	[rarely, rarement]
gathered	[gathered, rassemble]
unites	[unites, rassemble]
meeting	[meeting, rassemblement, rencontre, rencontre]
gather	[gather, rassembler, réunir, réunir, réussissent, réussissent]
binding	[binding, rattachement]
ray	[ray, ray]
raymond	[raymond, raymond]
radius	[radius, rayon]
radiation	[radiation, rayonnement]
rays	[rays, rayons]
asr	[asr, rda]
gdr	[gdr, rda]
re	[re, re, ré, ré]
reagan	[reagan, reagan]
real	[real, real, réel, réel, réelle, réelle, réelles, réelles, réels, réels, vrais, vrais]
rebel	[rebel, rebelle, soulève, soulève]
rebels	[rebels, rebelles]
census	[census, recensement]
recipe	[recipe, recette]
recipes	[recipes, recettes]
revenue	[revenue, recettes, revenus, revenus]
income	[income, recettes, rentrée, rentrée, revenu, revenu, revenus, revenus]
receive	[receive, recevoir, reçoit, reçoit, reçoivent, reçoivent, touche, touche]
to receive	[to receive, recevoir]
research	[research, recherche, rechercher, rechercher, recherches, recherches, research, research]
wanted	[wanted, recherché, voulait, voulait, voulu, voulu]
in gread demand	[in gread demand, recherché]
seeked	[seeked, recherché]
recommandations	[recommandations, recommandations]
recommendations	[recommendations, recommandations]
recommends	[recommends, recommande]
recommend	[recommend, recommande]
recommended	[recommended, recommandé]
recognition	[recognition, reconnaissance]
recognising	[recognising, reconnaissant]
recognizing	[recognizing, reconnaissant]
recognize	[recognize, reconnaissent, reconnaître, reconnaître, retrouvent, retrouvent]
recognizes	[recognizes, reconnaît]
recognised	[recognised, reconnaît, reconnue, reconnue]
recognise	[recognise, reconnus]
reconquest	[reconquest, reconquête]
reconstitution	[reconstitution, reconstitution]
rebuilding.  / reconstitution (for las sentence about hitler)	[rebuilding.  / reconstitution (for las sentence about hitler), reconstitution]
rebuilding	[rebuilding, reconstruction]
reconstruction	[reconstruction, reconstruction]
rebuilt	[rebuilt, reconstruit]
resort	[resort, recours]
recourse	[recourse, recours]
recruitment	[recruitment, recrutement]
rectangle	[rectangle, rectangle]
retreat	[retreat, recul, retraite, retraite]
recycling	[recycling, recyclage]
rediscovery	[rediscovery, redécouverte]
reese	[reese, reese]
reflect	[reflect, reflet, reflète, reflète]
glint	[glint, reflet]
reflection	[reflection, reflet, réflexion, réflexion, réflexions, réflexions]
reflects	[reflects, reflète]
cooling	[cooling, refroidissement]
refuge	[refuge, refuge]
refusal	[refusal, refus]
refusing	[refusing, refusant]
refuses	[refuses, refuse]
refuse	[refuse, refuse, refusent, refusent, refuser, refuser]
to refuse	[to refuse, refuser]
turn down	[turn down, refuser]
refused	[refused, refusé]
watches	[watches, regarde]
watch	[watch, regarder, ronde, ronde]
reggae	[reggae, reggae]
registries	[registries, registres]
grouping	[grouping, regroupant, regroupement, regroupement]
regroups	[regroups, regroupe]
encompasses	[encompasses, regroupe]
regrouping	[regrouping, regroupement]
regroup	[regroup, regroupent]
grouped	[grouped, regroupées, regroupés, regroupés]
regrouped	[regrouped, regroupés]
reich	[reich, reich]
reims	[reims, reims]
rejection	[rejection, rejet]
reject	[reject, rejet, rejette, rejette]
rejects	[rejects, rejette]
rejected	[rejected, rejeté]
join	[join, rejoignent, rejoindre, rejoindre]
to resemble	[to resemble, rejoignent]
rejoin	[rejoin, rejoindre]
to meet up with	[to meet up with, rejoindre]
relay	[relay, relais]
stimulus	[stimulus, relance]
revive	[revive, relance]
relaunch	[relaunch, relance]
relates	[relates, relate]
recounts	[recounts, relate, retrace, retrace]
recount	[recount, relate]
relation	[relation, relation]
relations	[relations, relations]
relatively	[relatively, relativement]
relating	[relating, relatives]
stand upright again	[stand upright again, relever]
get up	[get up, relever]
connecting	[connecting, reliant]
linking	[linking, reliant]
relief	[relief, relief, secours, secours]
to connect	[to connect, relier]
religious	[religious, religieuse, religieuses, religieuses, religieux, religieux, religions, religions]
relics	[relics, reliques, vestiges, vestiges]
connected	[connected, reliée]
binded	[binded, reliées]
come under	[come under, relève]
remarkable	[remarkable, remarquable, remarquables, remarquables]
remark	[remark, remarque]
fait remarquer=remarked/noted/pointed out	[fait remarquer=remarked/noted/pointed out, remarquer]
to notice	[to notice, remarquer]
points out	[points out, remarquer]
remarks	[remarks, remarques]
noticed	[noticed, remarqué]
rembrandt	[rembrandt, rembrandt]
returns	[returns, remet, rentre, rentre, retourne, retourne]
replay(1st sentence) does not(2nd sentence as does no put in question) recover (3rd sentence)	[replay(1st sentence) does not(2nd sentence as does no put in question) recover (3rd sentence), remet]
return	[return, remettre, rentrer, rentrer, renvoyer, renvoyer, retour, retour, retourner, retourner, revenir, revenir, revient, revient]
remit	[remit, remettre]
handed over	[handed over, remis]
discount	[discount, remise, réduction, réduction, solde, solde]
calling into	[calling into, remise]
presentation(for the cremony)call into question (for 1980)	[presentation(for the cremony)call into question (for 1980), remise]
remix	[remix, remix]
dating back	[dating back, remontant]
dates back	[dates back, remonte]
date back	[date back, remonte]
go up	[go up, remontent]
climbed	[climbed, remontent]
go back	[go back, remontent]
pick/put up	[pick/put up, remonter]
track back	[track back, remonter]
battlements	[battlements, remparts]
ramparts	[ramparts, remparts]
replaces	[replaces, remplace]
replace	[replace, remplace, remplacer, remplacer]
to replace	[to replace, remplacer]
replaced	[replaced, remplacé, remplacée, remplacée]
replacing	[replacing, remplaçant]
substitute	[substitute, remplaçant]
fulfil	[fulfil, remplir]
fill	[fill, remplir]
winning	[winning, remportant]
win over	[win over, remporter, vaincre, vaincre]
earned	[earned, remporté, valu, valu]
renaissance	[renaissance, renaissance]
renaissance (a period in time)	[renaissance (a period in time), renaissance]
renaud	[renaud, renaud]
junction	[junction, rencontre]
meet	[meet, rencontrent, rencontrer, rencontrer, réunissent, réunissent]
meetings	[meetings, rencontres, réunions, réunions]
encounters	[encounters, rencontres]
met	[met, rencontré, rencontrés, rencontrés]
encountered	[encountered, rencontré]
pays (rend hommage = pays hommage)	[pays (rend hommage = pays hommage), rend]
yield (amount)	[yield (amount), rendement]
rendezvous	[rendezvous, rendezvous]
pay tribute	[pay tribute, rendre]
give back	[give back, rendre]
rendered	[rendered, rendue]
returned	[returned, rendue, renvoyé, renvoyé]
reinforce	[reinforce, renforce, renforcer, renforcer]
strengthens	[strengthens, renforce]
strengthening	[strengthening, renforcement]
strengthen	[strengthen, renforcer]
strengthened	[strengthened, renforcé]
reinforced	[reinforced, renforcé, renforcée, renforcée]
rennes	[rennes, rennes]
reputation	[reputation, renom, réputation, réputation]
renoun	[renoun, renommée]
revoke	[revoke, renonce]
renounces	[renounces, renonce]
renounce	[renounce, renoncer]
renewal	[renewal, renouveau, renouvellement, renouvellement]
renewable	[renewable, renouvelable, renouvelables, renouvelables]
renouvellement	[renouvellement, renouvellement]
bistort	[bistort, renouée]
knotgrass	[knotgrass, renouée]
renewd	[renewd, renouée]
knotweed	[knotweed, renouée]
knot grass	[knot grass, renouée]
japanese knotweed	[japanese knotweed, renouée]
reynoutria	[reynoutria, renouée]
knot-grass	[knot-grass, renouée]
wild	[wild, renouée, sauvage, sauvage, sauvages, sauvages]
wild buckwheat	[wild buckwheat, renouée]
renouille	[renouille, renouée]
polygonum	[polygonum, renouée]
polygonum / knotgrass	[polygonum / knotgrass, renouée]
comes back	[comes back, rentre]
collect	[collect, rentrer]
back to school	[back to school, rentrée]
back to	[back to, rentrée]
sends back	[sends back, renvoie]
to expel / to fire (from a job)	[to expel / to fire (from a job), renvoyer]
dismissed	[dismissed, renvoyé]
rein	[rein, rené]
rene	[rene, rené]
rené	[rené, rené]
meals	[meals, repas]
rest	[rest, repos, repose, repose, reposent, reposent]
restful	[restful, reposant, restant, restant]
is based	[is based, repose, sappuie, sappuie]
discard	[discard, repousser]
repel	[repel, repousser]
to push out	[to push out, repousser]
embodying	[embodying, reprenant]
reprises (the song)	[reprises (the song), reprend]
resumes	[resumes, reprend]
resume	[resume, reprendre, reprennent, reprennent]
retook	[retook, repris]
resumed	[resumed, repris]
recovery	[recovery, reprise, récupération, récupération]
remake	[remake, reprise]
times	[times, reprises, temps, temps, times, times, époques, époques]
reproach	[reproach, reproche]
reproduction	[reproduction, reproduction]
reproduce	[reproduce, reproduire]
reprisals	[reprisals, représailles]
retaliation	[retaliation, représailles]
revenge	[revenge, représailles, revanche, revanche, vengeance, vengeance, venger, venger]
represented	[represented, représentait, représenté, représenté, représentée, représentée, représentées, représentées, représentés, représentés]
representative	[representative, représentant]
representatif	[representatif, représentant]
representatives	[representatives, représentants]
representation	[representation, représentation]
representations	[representations, représentations]
represents	[represents, représente]
represent	[represent, représente, représentent, représentent, représenter, représenter]
query	[query, requête]
complaints	[complaints, requêtes]
respect	[respect, respect, respecter, respecter, égard, égard]
respective	[respective, respectifs, respectives, respectives]
respectively	[respectively, respectivement]
respiratory	[respiratory, respiratoire]
responsibility	[responsibility, responsabilité]
responsability	[responsability, responsabilité]
